datetime,NHCCI-Seasonally-Adjusted,Forecast
2020-01-01,1.9949571739,1.9007662096633542
2020-04-01,1.9405979205,1.5690783408378393
2020-07-01,1.8867955001,1.8791665682914838
2020-10-01,1.8889091207,1.9269982267135755
2021-01-01,1.9264479137,2.007110043019434
2021-04-01,2.0133396281,2.1184680764523094
2021-07-01,2.090565738,2.1966980357536094
2021-10-01,2.2050702642,2.3314569642341403
2022-01-01,2.3088131564,2.3833422169456457
2022-04-01,2.5319078982,2.4708300450581797
2022-07-01,2.7464133002,2.541104676345037
2022-10-01,2.7889678124,2.6080900414321873
2023-01-01,2.8920107647,2.6623506184255428
2023-04-01,2.9493007944,2.696830310978292
2023-07-01,3.0627021444,2.771989579405296
2023-10-01,3.1639365802,2.813016577775056
2024-01-01,3.2113839381,2.8486103355744032
2024-04-01,3.1468385443,2.9032051704317485
