Construction Component,Spending Cluster,Average % Change
grp13-pct-change-Asphalt,High Investment,1.4859204651491338
grp9-pct-change-Asphalt,High Investment,1.4975377775402576
grp25-pct-change-Asphalt,High Investment,1.481560363061041
grp25-pct-change-Grading-Excavation,High Investment,0.6008873375025837
grp9-pct-change-Grading-Excavation,High Investment,0.5947416839699796
grp9-pct-change-Bridge,High Investment,0.5596471051573269
grp13-pct-change-Bridge,High Investment,0.5501878443476027
grp25-pct-change-Bridge,High Investment,0.5387735254206081
grp13-pct-change-Grading-Excavation,High Investment,0.5993012707656596
grp9-pct-change-Traffic-Control,High Investment,0.31951265312411764
grp13-pct-change-Asphalt,Low Investment,-0.6587411664342953
grp9-pct-change-Asphalt,Low Investment,-0.569064498175062
grp25-pct-change-Asphalt,Low Investment,-0.5550338141621095
grp25-pct-change-Grading-Excavation,Low Investment,-0.14554492696140328
grp9-pct-change-Grading-Excavation,Low Investment,-0.08039671675452846
grp9-pct-change-Bridge,Low Investment,-0.09969833149046253
grp13-pct-change-Bridge,Low Investment,-0.10723222363620977
grp25-pct-change-Bridge,Low Investment,-0.08427155862978222
grp13-pct-change-Grading-Excavation,Low Investment,-0.014652243543389351
grp9-pct-change-Traffic-Control,Low Investment,-0.15917786535266443
