observation_date,IPUDN2373W200000000
1987-01-01,282.0
1988-01-01,281.0
1989-01-01,287.9
1990-01-01,293.9
1991-01-01,271.8
1992-01-01,269.3
1993-01-01,276.6
1994-01-01,279.0
1995-01-01,283.5
1996-01-01,293.0
1997-01-01,299.7
1998-01-01,313.5
1999-01-01,341.8
2000-01-01,345.7
2001-01-01,351.2
2002-01-01,351.0
2003-01-01,345.6
2004-01-01,352.7
2005-01-01,356.3
2006-01-01,354.1
2007-01-01,350.1
2008-01-01,332.5
2009-01-01,296.1
2010-01-01,291.7
2011-01-01,290.8
2012-01-01,298.8
2013-01-01,297.0
2014-01-01,298.5
2015-01-01,313.9
2016-01-01,323.4
2017-01-01,331.6
2018-01-01,345.0
2019-01-01,352.3
2020-01-01,349.2
2021-01-01,345.6
2022-01-01,354.4
2023-01-01,373.0
